org,dest,km_linear,km_rota
1100015,1100015,mesma cidade,mesma cidade
1100015,1100098,170.44938201864124,145.0
1100015,1100130,326.2857946406476,388.0
1100015,1100148,71.24773383984993,61.0
1100015,1100296,63.64018959020441,26.0
1100015,1100338,379.9057825000992,625.0
1100015,1100346,112.03755229812761,95.0
1100015,1100502,69.91860844381885,26.0
1100015,1101005,211.84494157812978,279.0
1100015,1200054,821.8822724132094,1341.0
1100015,1200179,637.1981205068762,1080.0
1100015,1200328,1125.956660741325,1673.0
1100015,1200385,603.9801949635606,989.0
1100015,1200427,1262.6591766513734,1663.0
1100015,1200450,644.2635303645342,1028.0
1100015,1300102,957.6522580150225,1663.0
1100015,1300631,899.7141948718624,1663.0
1100015,1300805,944.0443812206404,1741.0
1100015,1301209,941.6332233447667,1849.0
1100015,1301605,1185.1787141256546,2303.0
1100015,1301803,1142.9747766100115,1574.0
1100015,1301902,1084.1940228190017,1686.0
1100015,1301951,922.5529144129946,nao existe caminho entre os dois locais
1100015,1302504,1015.2988031480681,1516.0
1100015,1303007,1285.4424623034595,nao existe caminho entre os dois locais
1100015,1303403,1207.9272089023107,2691.0
1100015,1303502,742.4811525872041,1245.0
1100015,1303601,1470.8556382323031,nao existe caminho entre os dois locais
1100015,1303700,1238.5527075962038,2616.0
1100015,1400027,1788.6982937997614,2350.0
1100015,1400456,1849.0784470104716,2408.0
1100015,1501402,1946.288659238128,3086.0
1100015,1501451,1334.0874264421166,2361.0
1100015,1501725,1447.2892330046382,2472.0
1100015,1501907,1956.5285208566995,3076.0
1100015,1501956,2087.426368173195,3235.0
1100015,1502764,1305.8780199586884,2235.0
1100015,1502905,2033.953890822819,3197.0
1100015,1503077,2022.0559358590651,3127.0
1100015,1503101,1727.922303964819,2714.0
1100015,1503507,2002.6326986672075,3055.0
1100015,1503606,1004.2453999242516,2081.0
1100015,1504307,2065.8194484202177,3175.0
1100015,1504406,2047.6142646903047,3212.0
1100015,1504950,2005.2363152814046,3040.0
1100015,1505205,1753.7370379872268,3050.0
1100015,1505403,2048.077418264315,3126.0
1100015,1505437,1270.1320325863283,2439.0
1100015,1505494,1688.8109091653635,2627.0
1100015,1506161,1461.6997566984319,2265.0
1100015,1506187,1752.7973682216352,2667.0
1100015,1506195,1181.816155887262,2175.0
1100015,1507151,1654.6077927467168,2574.0
1100015,1507458,1623.1989441226876,2551.0
1100015,1507805,1505.7553781897889,2670.0
1100015,1507961,2020.4590665555613,3162.0
1100015,1508084,1351.4410299470092,2447.0
1100015,1508159,1342.543079794849,2324.0
1100015,1600055,1850.7155596847106,4478.0
1100015,1600154,1827.8136251597884,4459.0
1100015,1600600,1824.570782642172,4492.0
1100015,1701309,1592.884637409869,2545.0
1100015,1702000,1340.0621489847688,2148.0
1100015,1702554,1737.1489541879173,2687.0
1100015,1703073,1670.3267746865763,2547.0
1100015,1703305,1573.6333089181255,2469.0
1100015,1703826,1712.8559386075347,2708.0
1100015,1703867,1412.1598998631662,2314.0
1100015,1706001,1482.2429660193777,2303.0
1100015,1707207,1469.5279092079077,2256.0
1100015,1707306,1406.7819272285296,2368.0
1100015,1707652,1410.4791775855167,2285.0
1100015,1708254,1533.642327377834,2338.0
1100015,1708304,1497.9997524024666,2229.0
1100015,1709302,1544.9147169266828,2411.0
1100015,1711100,1530.1197847366993,2399.0
1100015,1712454,1710.635738332782,2681.0
1100015,1712504,1376.6081211645308,2138.0
1100015,1712702,1726.829012411298,2770.0
1100015,1713957,1592.8106932023331,2507.0
1100015,1714302,1712.9747826966861,2689.0
1100015,1715101,1594.701937634394,2651.0
1100015,1716307,1527.7494565460927,2329.0
1100015,1716505,1580.8286602262126,2465.0
1100015,1717008,1592.4719426314762,2532.0
1100015,1717503,1369.641746789928,2514.0
1100015,1720200,1770.1892938427463,2735.0
1100015,1720655,1526.8218475039207,2542.0
1100015,1720903,1706.3859796263346,2697.0
1100015,1721307,1595.7306417148297,2468.0
1100015,2100055,1813.867443168352,2761.0
1100015,2100402,2049.202314879366,3069.0
1100015,2100600,1866.0275949766492,2863.0
1100015,2100709,2182.140008663436,3235.0
1100015,2100956,1949.6247587097919,2933.0
1100015,2101004,2153.4123666085657,3160.0
1100015,2101251,2219.726236699129,3265.0
1100015,2101608,2005.8917176060659,2931.0
1100015,2102077,2083.5879393079067,3193.0
1100015,2102705,2182.0064322861394,3216.0
1100015,2102903,2165.694155590246,3393.0
1100015,2103000,2238.222148895938,3197.0
1100015,2103174,2055.9763850353306,3308.0
1100015,2103604,2180.1045355810893,3278.0
1100015,2104057,1755.5120188042322,2630.0
1100015,2104073,1794.9851765453234,2755.0
1100015,2104099,1869.8739415341804,2895.0
1100015,2105401,2204.091287947204,3233.0
1100015,2105427,1869.5744619905697,2773.0
1100015,2105500,1807.6313174759027,2764.0
1100015,2105609,2081.976655505452,3081.0
1100015,2105807,2075.3650179186075,3222.0
1100015,2106102,1959.0092408914413,2920.0
1100015,2106904,2099.3212745755736,3122.0
1100015,2107209,2241.5380293888024,3298.0
1100015,2107308,2079.9805661225896,3041.0
1100015,2107357,2088.240885892134,3194.0
1100015,2107704,2104.714402409278,3067.0
1100015,2108108,2044.9683948134366,3189.0
1100015,2108207,2105.565121366574,3253.0
1100015,2108256,2113.595724538423,3191.0
1100015,2108454,2149.723998176791,3241.0
1100015,2108603,2150.2368568812244,3254.0
1100015,2109106,2098.281737053855,3026.0
1100015,2109205,2239.5878911825534,3297.0
1100015,2109270,2145.2282096104905,3270.0
1100015,2110005,2013.538537738333,3032.0
1100015,2110039,2107.1627505387933,3223.0
1100015,2110302,2107.621515769969,3078.0
1100015,2110401,2274.919982597281,3362.0
1100015,2110500,2166.099928086717,3277.0
1100015,2111029,2000.6361091320089,3194.0
1100015,2111532,1700.6496573346533,2625.0
1100015,2111607,1903.8193668638976,2850.0
1100015,2111672,2050.586571899728,2990.0
1100015,2111763,1825.3922856719153,2777.0
1100015,2112100,2195.025861625672,3314.0
1100015,2112274,2058.1746381110597,3080.0
1100015,2112308,2058.2710687812614,3014.0
1100015,2112902,2131.1968123343445,3148.0
1100015,2200608,2239.762455917472,3735.0
1100015,2201309,1838.7765589549012,3096.0
1100015,2201408,2276.1975854928105,3781.0
1100015,2201770,2371.3747847406894,3377.0
1100015,2201903,1970.7043557309678,3259.0
1100015,2201988,2162.8013585962176,3504.0
1100015,2202117,2265.3232832615436,3625.0
1100015,2202133,2380.5261345615254,3801.0
1100015,2202208,2349.6385707601785,3314.0
1100015,2202505,2087.222553192319,3316.0
1100015,2202604,2393.2480039461475,3420.0
1100015,2202752,2062.4859903100514,3383.0
1100015,2203354,2178.1342570421475,3505.0
1100015,2203404,2318.8113872764593,3794.0
1100015,2203453,2234.927353568756,3502.0
1100015,2204154,2404.322388617168,3812.0
1100015,2205151,2344.130954134181,3740.0
1100015,2205201,2360.9360009223983,3771.0
1100015,2205508,2311.409741709338,3285.0
1100015,2205557,2316.9302550659977,3317.0
1100015,2205607,2072.7156922459603,3537.0
1100015,2205904,2050.2926997676486,3412.0
1100015,2206100,2356.8516778995518,3462.0
1100015,2206209,2302.874613831502,3475.0
1100015,2207504,2219.108013406877,3749.0
1100015,2207777,2339.5896510697376,3751.0
1100015,2207793,2300.8928731234187,3303.0
1100015,2207934,2224.6984007085307,3622.0
1100015,2208106,2398.60011475668,3878.0
1100015,2208908,1925.9404298187962,2877.0
1100015,2209104,2306.109296310803,3757.0
1100015,2209906,2349.4794475037747,3364.0
1100015,2209971,2365.0278306922587,3480.0
1100015,2210300,2406.4954875159406,3830.0
1100015,2210359,2170.260424185558,3429.0
1100015,2210607,2149.9813580924524,3404.0
1100015,2211001,2281.8934066190354,3236.0
1100015,2211407,2278.669526068072,3735.0
1100015,2211704,2288.7361386915154,3734.0
1100015,2300309,2579.4062220228684,4306.0
1100015,2300754,2670.585031049044,3942.0
1100015,2300804,2505.64266205124,3934.0
