Município - UF;COD mun
Jacinto Machado - SC;4208708
Marquinho - PR;4115457
Itaipe - MG;3132305
Presidente Juscelino - MA;2109205
Marilia - SP;3529005
Tuntum - MA;2112308
Aiquara - BA;2900603
Anadia - AL;2700201
Pedro Teixeira - MG;3149408
Estreito - MA;2104057
Maracana - PA;1504307
Morrinhos - GO;5213806
Carinhanha - BA;2907103
Colonia do Gurgueia - PI;2202752
Santa Margarida do Sul - RS;4316972
Palmeira dOeste - SP;3535200
Cuite de Mamanguape - PB;2505238
Bonfinopolis - GO;5203559
Potengi - CE;2311207
Analandia - SP;3502002
Manari - PE;2609154
Sao Jose do Hortencio - RS;4318481
Sao Joao Nepomuceno - MG;3162906
Senador Jose Bento - MG;3165800
Tapurah - MT;5108006
Comendador Levy Gasparian - RJ;3300951
Dois Irmaos do Tocantins - TO;1707207
Barao de Antonina - SP;3505005
Sape - PB;2515302
Coroaci - MG;3119203
Osvaldo Cruz - SP;3534609
Sao Miguel do Passa Quatro - GO;5220264
Canhotinho - PE;2603702
Carutapera - MA;2102903
Lavras do Sul - RS;4311502
Ipueiras - CE;2305902
Sao Joao da Serra - PI;2209906
Fatima do Sul - MS;5003801
Formiga - MG;3126109
Nossa Senhora das Gracas - PR;4116406
Palestina do Para - PA;1505494
Santa Rita - PB;2513703
Ribeirao Claro - PR;4121802
Licinio de Almeida - BA;2919405
Encanto - RN;2403301
Progresso - RS;4315156
Dom Inocencio - PI;2203453
Jordania - MG;3136504
Dracena - SP;3514403
Sao Jose do Ouro - RS;4318606
Guarani dOeste - SP;3518008
Itanhandu - MG;3133105
Paraiso - SP;3535705
Extremoz - RN;2403608
Ribeiro Goncalves - PI;2208908
Embauba - SP;3514957
Monte Carlo - SC;4211058
Sao Pedro do Iguacu - PR;4125753
Mogi das Cruzes - SP;3530607
Condado - PE;2604601
Beruri - AM;1300631
Santo Antonio do Planalto - RS;4317756
Amarante do Maranhao - MA;2100600
Arroio dos Ratos - RS;4301107
Desterro de Entre Rios - MG;3121407
Cassilandia - MS;5002902
Quatigua - PR;4120705
Itanagra - BA;2915908
Alta Floresta - MT;5100250
Tejucuoca - CE;2313351
Florai - PR;4107801
Macarani - BA;2919702
Paranaiguara - GO;5216304
Santa Isabel do Rio Negro - AM;1303601
Anori - AM;1300102
Quixere - CE;2311504
Aparecida do Taboado - MS;5001003
Bom Jesus da Penha - MG;3107604
Entre Rios - SC;4205175
Faina - GO;5207535
Lindolfo Collor - RS;4311627
Armazem - SC;4201505
Conceicao das Pedras - MG;3117207
Matao - SP;3529302
Joao Monlevade - MG;3136207
Paripueira - AL;2706448
Nhamunda - AM;1303007
Jandaira - RN;2405108
Monte Alegre de Goias - GO;5213509
Pariquera-Acu - SP;3536208
Anajatuba - MA;2100709
Alagoa Grande - PB;2500304
Mar de Espanha - MG;3139805
Tamboril - CE;2313203
Ipiranga de Goias - GO;5210158
Santa Cruz de Goias - GO;5219209
Pompeia - SP;3540002
Lassance - MG;3138104
Caem - BA;2905107
Itinga - MG;3134004
Urutai - GO;5221809
Vicentina - MS;5008404
Guapore - RS;4309407
Marau - BA;2920700
Rancho Alegre dOeste - PR;4121356
Buerarema - BA;2904704
Grupiara - MG;3127909
Ervalia - MG;3124005
Crixas - GO;5206404
Estrela de Alagoas - AL;2702553
Campo Alegre - AL;2701407
Navirai - MS;5005707
Hidrolandia - GO;5209705
Soledade de Minas - MG;3167806
Uruburetama - CE;2313807
Manacapuru - AM;1302504
Ourilandia do Norte - PA;1505437
Juscimeira - MT;5105200
Nova Iguacu de Goias - GO;5214879
Charqueada - SP;3511706
Agrolandia - SC;4200200
Arame - MA;2100956
Campinorte - GO;5204706
Aracatuba - SP;3502804
Nova Esperanca do Piria - PA;1504950
Itambe - PR;4111100
Pedra Bonita - MG;3148756
Sao Fernando - RN;2411809
Rio das Flores - RJ;3304508
Passa Sete - RS;4314068
Barbalha - CE;2301901
Itagimirim - BA;2915304
Avare - SP;3504503
Curral de Cima - PB;2505279
Itinga do Maranhao - MA;2105427
Sao Joao da Mata - MG;3162302
Nova Alianca - SP;3532801
Varzea Grande - PI;2211407
Bela Cruz - CE;2302305
Santa Margarida - MG;3157906
Unai - MG;3170404
Nhandeara - SP;3532603
Sao Bento - MA;2110500
Nova Petropolis - RS;4313201
Dom Expedito Lopes - PI;2203404
Sao Joao da Urtiga - RS;4318424
Cordeiros - BA;2909000
Jupia - SC;4209177
Marema - SC;4210555
Pratinha - MG;3153004
Cosmopolis - SP;3512803
Pimenteiras - PI;2208106
Sao Pedro das Missoes - RS;4319364
Imbituva - PR;4110102
Joaquim Gomes - AL;2703809
Itabirito - MG;3131901
Diamantino - MT;5103502
Jacui - MG;3134806
Rio Grande da Serra - SP;3544103
Butia - RS;4302709
Gramado - RS;4309100
Aratuba - CE;2301406
Belo Jardim - PE;2601706
Assis Chateaubriand - PR;4102000
Urania - SP;3555802
Pedreiras - MA;2108207
Pinheiro - MA;2108603
Vitoria da Conquista - BA;2933307
Saudade do Iguacu - PR;4126272
Jardim do Serido - RN;2405702
Sao Miguel do Anta - MG;3163805
Lastro - PB;2508406
Descanso - SC;4204905
Tenente Portela - RS;4321402
Pedro Laurentino - PI;2207934
Turmalina - MG;3169703
Mirassol dOeste - MT;5105622
Santa Clara do Oeste - SP;3546108
Novais - SP;3533254
Cajuru - SP;3509403
Aracagi - PB;2500809
Araruna - PR;4101705
Jaicos - PI;2205201
Figueiropolis d'Oeste - MT;5103809
Registro - SP;3542602
Xique-Xique - BA;2933604
Vera Cruz - RS;4322707
Reduto - MG;3154150
Lajedo - PE;2608800
Areiopolis - SP;3503604
Santos Dumont - MG;3160702
Ataleia - MG;3104700
Formoso - GO;5208103
Diamantina - MG;3121605
Sao Lourenco do Piaui - PI;2210359
Pires do Rio - GO;5217401
Paraibano - MA;2107704
Sao Jose do Bonfim - PB;2514602
Caracol - PI;2202505
Tres Palmeiras - RS;4321857
Minacu - GO;5213087
Oroco - PE;2609808
Rio Verde - GO;5218805
Sao Bento do Una - PE;2613008
Uniao do Sul - MT;5108303
